	murra668_20180508_qc_15	murra668_20180508_qc_16	murra668_20180508_qc_17	murra668_20180508_qc_18	murra668_20180508_qc_19	murra668_20180508_qc_20	murra668_20180508_qc_21	murra668_20180508_qc_22	murra668_20180508_qc_23	murra668_20180508_qc_24
M74T229	9863955.90438461	9996739.76475937	9308785.60571757	9451039.57662298	9355011.55449909	8085963.53973805	8649506.43409351	8277544.90739337	8284243.60626808	9169593.10938839
M91T473	5027008.84615256	4971074.37872491	5866760.19778427	5551146.77203623	5052382.24348014	4027162.06774529	5837950.6554441	5083131.15920009	4248973.01196442	6119959.26701809
M93T238	33751596.5374585	33847192.6056671	32919003.1909991	32984749.6496352	30637582.1439728	29587457.4340803	29984382.6566999	30011165.3480797	29529293.9560698	30646848.6596925
M94T238	3667352.6677224	2853785.72679988	3351210.12047223	3528598.85659083	3460639.86810434	2468303.51378226	3172901.69261734	3740022.64021437	3206442.03476603	2685537.13985784
M105T211	1359889.77651923	1571959.54922698	1510332.07800515	1503470.54975149	1346302.06795834	1380591.38912878	1173283.30645552	1597100.52144835	1268809.13093871	1520717.57272969
M106T238	26994628.5552979	26704113.4277697	24729863.3014471	26181507.8747186	24333234.3217688	22797076.834694	24066401.8767374	24750622.0113895	23505613.2980716	24570055.2642015
M107T238_1	2948178.808676	3083336.89619669	2526405.36440836	2709104.81297415	2828108.68542593	2687016.58089985	2683132.51188794	2714809.65954703	2546071.90922667	2992422.69301961
M107T238_2	3004995.12954627	3087363.59062524	2544751.61561259	2732262.02473184	2792134.25888456	2751972.7334725	2701984.19991562	2692240.02344545	2519444.75853595	2923943.5345982
M116T229	29812663.1538833	30132600.5177527	28850056.18546	28865092.5550765	27174815.4976052	25049441.0287638	25690575.7479293	25650425.6940554	23982188.2763567	27518667.794325
M117T229	3176073.94510304	3329209.00314145	3196214.55737578	3130368.60072208	2971355.59651711	2371227.61906453	2237143.21230817	2762731.16511948	2440193.21804167	2874504.84196172
M118T473	113598151.195406	108633197.89322	112532890.810057	101190768.184483	97383513.7873918	102183190.927208	103261024.329444	99484888.8657403	93012196.2335998	107238760.327298
M120T473	10018173.8906605	11595434.810495	11022170.4129675	9733355.07787867	9220278.27340402	9724167.15155059	10442104.8893759	9536757.12682201	9380424.69700993	10259349.6502993
M122T212	3814824.55787246	4924049.6524886	4146799.3320336	4068552.16166103	3700771.14943824	3090035.74115216	3304607.69402998	2969822.35490325	3826402.96185298	3620544.96346361
M134T238	49278725.1672837	48142512.442418	47211082.2128586	45997863.3129853	43534809.2432457	41000850.6176278	42428403.5584499	42933707.5235418	39493503.3763859	44216675.1322987
M135T238	7640911.34811599	7323921.76606222	6413043.04823552	7185818.50089378	6441995.8515048	6255103.95791871	6012127.51309401	6173686.22982294	5921321.64989062	6574239.46413371
M141T340	30458274.5813991	28392628.9750141	28062162.641715	29645509.6495864	29783896.9916102	28547866.63466	28199654.9271937	28333497.9008814	27962062.9742101	28163804.0486005
M142T340	4547466.47272594	4187418.00519687	4057219.81082352	4270341.39472136	4259399.18976003	4230472.19103541	4153185.45568874	4037042.02844251	3836821.03219742	3820769.65222686
M147T267	26242150.3894758	25305832.9264033	24306410.4288462	23927619.1559054	23339771.1087566	22631793.5065902	22543266.933201	23483932.1110974	23252003.7099669	24424667.7450199
M149T684	66914616.6671974	63000253.0532725	68864880.3465292	61028326.4197063	66128704.2079109	60951452.213068	57197299.8806469	59451587.1240993	64091802.512527	63379271.3513465
M150T684	7309281.05252941	8130748.9349587	6997027.34027014	7777405.39944748	7042560.407145	6364463.86643111	7391761.54154506	6981691.9756489	6126041.63107985	6879611.62475297
M158T439	6351583.12131274	6245484.8480048	6672551.42716274	6021618.95502046	5455118.03887325	5638628.35603904	5296039.32613381	5323503.85393052	4924329.22497346	5522417.24454869
