variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	pool	isotopes	adduct	pcgroup
M74T229	M74.1563T229.14	74.1562866532072	74.1512381251586	74.1620735236256	229.139419555664	228.950271606445	229.393264770508	10	10			24
M91T473	M91.0417T473.25	91.0417175444559	91.038014968203	91.0458792738505	473.251296606445	472.995422363281	473.493225097656	6	6			9
M93T238	M93.0145T237.91	93.0145099790911	93.0110937238551	93.0200648052662	237.913175939941	237.579544067383	238.08528137207	10	10			19
M94T238	M93.9467T237.74	93.9467413402512	93.9442292207643	93.9558155446143	237.742248535156	237.245101928711	237.919128417969	5	5			19
M105T211	M104.9025T211.26	104.902492326106	104.897407541443	104.905878947562	211.255020141602	211.085998535156	211.590728759766	5	5			44
M106T238	M105.9213T237.91	105.921280196563	105.917597920529	105.925496306928	237.91130065918	237.579544067383	238.08528137207	8	8			19
M107T238_1	M106.8586T237.91_1	106.858605440424	106.854147401064	106.865796864796	237.9138	237.579544067383	237.928497314453	5	5			19
M107T238_2	M106.8749T237.59_2	106.874948436214	106.867153731337	106.87829873868	237.59407043457	237.584014892578	237.924362182617	5	5			19
M116T229	M115.8944T229.03	115.894406191306	115.889064999695	115.901272375327	229.029853295898	228.950271606445	229.393264770508	10	10			24
M117T229	M116.8293T228.96	116.829340304006	116.824591605153	116.832363171244	228.960052490234	228.833831787109	229.250869750977	8	8			24
M118T473	M117.8439T473.32	117.843931525095	117.840352047802	117.845670865015	473.322692871094	473.181793212891	473.804351806641	10	10			9
M120T473	M119.8429T473.34	119.842865915461	119.838890328118	119.848343602916	473.342407226562	473.16	473.804351806641	7	7			9
M122T212	M121.8226T211.59	121.822586735225	121.813838104864	121.828216750689	211.593002319336	211.253784179688	212.111770629883	9	9			44
M134T238	M133.813T237.91	133.813006789095	133.810698141017	133.817054675685	237.913175939941	237.59407043457	238.08528137207	10	10			19
